"level","table","title","description","updated","dimensions"
"px-x-0102020202_103","px-x-0102020202_103.px","Heiraten nach gegenseitiger Altersklasse, Staatsangehörigkeit (Auswahl) und Zivilstand der Ehepartner, 1969-1986","Heiraten nach Jahr, Altersklasse des Ehemannes, Staatsangehörigkeit (Auswahl) des Ehemannes, Zivilstand des Ehemannes, Altersklasse der Ehefrau, Staatsangehörigkeit (Auswahl) der Ehefrau und Zivilstand der Ehefrau","2020-12-10T08:55:24","Jahr,Altersklasse des Ehemannes,Staatsangehörigkeit (Auswahl) des Ehemannes,Zivilstand des Ehemannes,Altersklasse der Ehefrau,Staatsangehörigkeit (Auswahl) der Ehefrau,Zivilstand der Ehefrau"
"px-x-0102020202_104","px-x-0102020202_104.px","Heiraten nach gegenseitiger Altersklasse, Staatsangehörigkeit (Auswahl) und Zivilstand der Ehepartner, 1987-1997","Heiraten nach Jahr, Altersklasse des Ehemannes, Staatsangehörigkeit (Auswahl) des Ehemannes, Zivilstand des Ehemannes, Altersklasse der Ehefrau, Staatsangehörigkeit (Auswahl) der Ehefrau und Zivilstand der Ehefrau","2020-12-10T08:55:56","Jahr,Altersklasse des Ehemannes,Staatsangehörigkeit (Auswahl) des Ehemannes,Zivilstand des Ehemannes,Altersklasse der Ehefrau,Staatsangehörigkeit (Auswahl) der Ehefrau,Zivilstand der Ehefrau"
"px-x-0102020202_105","px-x-0102020202_105.px","Heiraten nach gegenseitiger Altersklasse, Staatsangehörigkeit (Auswahl) und Zivilstand der Ehepartner, 1998-2006","Heiraten nach Jahr, Altersklasse des Ehemannes, Staatsangehörigkeit (Auswahl) des Ehemannes, Zivilstand des Ehemannes, Altersklasse der Ehefrau, Staatsangehörigkeit (Auswahl) der Ehefrau und Zivilstand der Ehefrau","2020-12-10T08:56:38","Jahr,Altersklasse des Ehemannes,Staatsangehörigkeit (Auswahl) des Ehemannes,Zivilstand des Ehemannes,Altersklasse der Ehefrau,Staatsangehörigkeit (Auswahl) der Ehefrau,Zivilstand der Ehefrau"
"px-x-0102020207_102","px-x-0102020207_102.px","Anerkennungen der Vaterschaft nach Kanton, Geschlecht und Altersklasse des Kindes","Anerkennungen der Vaterschaft nach Jahr, Kanton, Geschlecht des Kindes und Altersklasse des Kindes","2021-06-22T08:31:08","Jahr,Kanton,Geschlecht des Kindes,Altersklasse des Kindes"
"px-x-0102020300_101","px-x-0102020300_101.px","Kohortensterbetafeln für die Schweiz (1876-2030) nach Geburtsjahrgang, Geschlecht und Alter","Kohortensterbetafeln für die Schweiz (1876-2030) nach Geburtsjahrgang, Geschlecht und Alter","2020-12-10T09:02:08","Geburtsjahrgang,Geschlecht,Alter,Beobachtungseinheit"
"px-x-0102020300_102","px-x-0102020300_102.px","Periodensterbetafeln für die Schweiz (1876-2150) nach Jahr, Geschlecht und Alter","Periodensterbetafeln für die Schweiz (1876-2150) nach Jahr, Geschlecht und Alter","2020-12-10T09:02:12","Jahr,Geschlecht,Alter,Beobachtungseinheit"
"px-x-0103010000_110","px-x-0103010000_110.px","Ständige und nichtständige Wohnbevölkerung nach Kanton, Geschlecht, Anwesenheitsbewilligung, Alter und Staatsangehörigkeit, 2010","Ständige und nichtständige Wohnbevölkerung nach Jahr, Kanton, Bevölkerungstyp, Geschlecht, Anwesenheitsbewilligung, Alter und Staatsangehörigkeit","2020-12-10T09:04:34","Jahr,Kanton,Bevölkerungstyp,Geschlecht,Anwesenheitsbewilligung,Alter,Staatsangehörigkeit"
"px-x-0103010000_111","px-x-0103010000_111.px","Ständige und nichtständige Wohnbevölkerung nach Kanton, Geschlecht, Anwesenheitsbewilligung, Alter und Staatsangehörigkeit, 2011","Ständige und nichtständige Wohnbevölkerung nach Jahr, Kanton, Bevölkerungstyp, Geschlecht, Anwesenheitsbewilligung, Alter und Staatsangehörigkeit","2020-12-10T09:05:20","Jahr,Kanton,Bevölkerungstyp,Geschlecht,Anwesenheitsbewilligung,Alter,Staatsangehörigkeit"
"px-x-0103010000_112","px-x-0103010000_112.px","Ständige und nichtständige Wohnbevölkerung nach Kanton, Geschlecht, Anwesenheitsbewilligung, Alter und Staatsangehörigkeit, 2012","Ständige und nichtständige Wohnbevölkerung nach Jahr, Kanton, Bevölkerungstyp, Geschlecht, Anwesenheitsbewilligung, Alter und Staatsangehörigkeit","2020-12-10T09:06:00","Jahr,Kanton,Bevölkerungstyp,Geschlecht,Anwesenheitsbewilligung,Alter,Staatsangehörigkeit"
"px-x-0103010000_113","px-x-0103010000_113.px","Ständige und nichtständige Wohnbevölkerung nach Kanton, Geschlecht, Anwesenheitsbewilligung, Alter und Staatsangehörigkeit, 2013","Ständige und nichtständige Wohnbevölkerung nach Jahr, Kanton, Bevölkerungstyp, Geschlecht, Anwesenheitsbewilligung, Alter und Staatsangehörigkeit","2020-12-10T09:06:46","Jahr,Kanton,Bevölkerungstyp,Geschlecht,Anwesenheitsbewilligung,Alter,Staatsangehörigkeit"
